 29184
  2455518.3966550929471850    -90.03     12.00    450.17    298.00     37.00      1.00      0.00     10.13      8.67    -50.50     13.40
  2455518.3966550929471850    -90.03     12.00    498.14    431.00     38.00      1.00      0.00     10.25      8.70    -27.30     12.90
  2455518.3966550929471850    -90.03     12.00    546.10    678.00     73.00      0.52      0.10     10.32      8.80    -42.10     17.40
  2455518.3966550929471850    -90.03     12.00    594.07    740.00     75.00      0.66      0.11     10.50      8.99    -46.50     19.00
  2455518.3966550929471850    -90.03     12.00    642.04    988.00     97.00      0.73      0.11     10.71      9.17    -20.30     22.40
  2455518.3966550929471850    -90.03     12.00    690.00    993.00     54.00      1.03      0.07     10.77      9.04     19.10     15.40
  2455518.3966550929471850    -90.03     12.00    737.97    875.00     27.00      1.32      0.05     11.16      9.26     11.30     10.30
  2455518.3966550929471850    -90.03     12.00    785.94    830.00     20.00      1.42      0.05     11.32      9.36     -8.80      8.80
  2455518.3966550929471850    -90.03     12.00    833.90    849.00     16.00      1.48      0.04     11.51      9.44     -1.00      6.90
  2455518.3966550929471850    -90.03     12.00    881.87    867.00     17.00      1.60      0.04     11.61      9.59    -12.90      7.40
  2455518.3966550929471850    -90.03     12.00    929.84    871.00     16.00      1.71      0.04     11.57      9.53    -12.10      6.90
  2455518.3966550929471850    -90.03     12.00    977.80    877.00     17.00      1.84      0.05     11.57      9.59    -26.30      7.30
  2455518.3966550929471850    -90.03     12.00   1025.77    852.00     20.00      2.09      0.06     11.49      9.64    -23.10      8.90
  2455518.3966550929471850    -90.03     12.00   1073.74    834.00     19.00      2.26      0.07     11.46      9.62    -36.70      8.50
  2455518.3966550929471850    -90.03     12.00   1121.70    840.00     24.00      2.38      0.09     11.29      9.58    -23.60     10.50
  2455518.3966550929471850    -90.03     12.00   1169.67    865.00     30.00      2.38      0.11     11.20      9.60    -22.50     13.70
  2455518.3966550929471850    -90.03     12.00   1217.64    862.00     35.00      2.46      0.13     11.31      9.80    -11.50     16.30
  2455518.3966550929471850    -90.03     12.00   1265.60    906.00     52.00      2.25      0.17     11.10      9.69     -0.20     23.20
  2455518.3966550929471850    -90.03     12.00   1313.57    951.00     70.00      2.10      0.20     11.20      9.88     16.30     30.70
  2455518.3966550929471850    -90.03     12.00   1361.54    897.00     77.00      2.15      0.23     11.10      9.84     12.30     33.80
  2455518.3966550929471850    -90.03     12.00   1409.50    954.00    121.00      1.92      0.32     10.88      9.75    -89.00     51.60
  2455518.3966550929471850    -90.03     12.00   1457.47   1096.00    199.00      1.78      0.43     10.48      9.48   -110.20     79.60
  2455518.3966550929471850    -90.03     12.00   1505.44   1475.00    365.00      1.16      0.40     10.94     10.00   -172.70    117.10
  2455518.3966550929471850    -90.03     12.00   1553.41   9999.99   9999.99   9999.99   9999.99     10.94   9999.99   9999.99   9999.99
  2455518.3966550929471850    -90.03     12.00   1601.37   1098.00    287.00      2.46      0.86     11.09     10.39   -255.40    112.60
  2455518.3966550929471850    -90.03     12.00   1649.34   9999.99   9999.99   9999.99   9999.99     11.09   9999.99   9999.99   9999.99
  2455518.3966550929471850    -90.03     12.00   1697.31   9999.99   9999.99   9999.99   9999.99     11.09   9999.99   9999.99   9999.99
  2455518.3966550929471850    -90.03     12.00   1745.27   9999.99   9999.99   9999.99   9999.99     10.50   9999.99   9999.99   9999.99
  2455518.3966550929471850    -90.03     12.00   1793.24   9999.99   9999.99   9999.99   9999.99     10.50   9999.99   9999.99   9999.99
  2455518.3966550929471850    -90.03     12.00   1841.21   9999.99   9999.99   9999.99   9999.99     10.82   9999.99   9999.99   9999.99
  2455518.3966550929471850    -90.03     12.00   1889.17    642.00    334.00      3.20      1.67      9.47      8.94   -199.30    168.20
